currency	price	address	location	title	web	area	ambs	price_area_ratio
USD	95000	Aguirre 1100	Villa Crespo, Capital Federal	PH Patio Baulera en Depto Impecable - Aguirre Al 1100 - Villa Crespo	https://www.zonaprop.com.ar/propiedades/ph-patio-baulera-en-depto-impecable-aguirre-al-1100-51143714.html	65	3	1461
USD	95000	Roseti al 400	Chacarita, Capital Federal	PH Roseti y Jorge Newbery	https://www.zonaprop.com.ar/propiedades/ph-roseti-y-jorge-newbery-48050934.html	60	3	1583
USD	94999	Maure 3700	Chacarita, Capital Federal	Venta PH Chacarita/colegiales 3 Amb	https://www.zonaprop.com.ar/propiedades/venta-ph-chacarita-colegiales-3-amb-50748056.html	77	3	1233
USD	93000	Cucha Cucha 2600	Villa Crespo, Capital Federal	Permuta Oferta PH 4amb Entrada Privada Sin Expensas	https://www.zonaprop.com.ar/propiedades/permuta-oferta-ph-4amb-entrada-privada-sin-expensas-50656181.html	100	4	930
USD	93000	FRANKLIN 50	Villa Crespo, Capital Federal	Venta PH 3 Amb Exc Ubic P. Centenario a m del Parque U$s 93 Mil Oport!	https://www.zonaprop.com.ar/propiedades/venta-ph-3-amb-exc-ubic-p.-centenario-a-m-del-parque-47552574.html	75	3	1240
USD	90000	Potosí y Río de Janeiro	Villa Crespo, Capital Federal	Departamento Venta 1 Dormitorio 1 Baño 1 Balcón y Patio 67 m 2 Totales - Villa Crespo	https://www.zonaprop.com.ar/propiedades/departamento-venta-1-dormitorio-1-bano-1-balcon-y-51196438.html	65	3	1384
USD	89900	ESCALADA DE SAN MARTIN, R. 300. Entre Av. warnes y Valentin virasoro	Villa Crespo, Capital Federal	Oportunidad Excelente PH Al Fte. C/ Patio, Apto Profesional!	https://www.zonaprop.com.ar/propiedades/oportunidad-excelente-ph-al-fte.-c-patio-apto-50539036.html	68	3	1322
USD	86500	Aráoz 400	Villa Crespo, Capital Federal	Venta PH 3 Ambientes con 2 Terraza - Villa Crespo	https://www.zonaprop.com.ar/propiedades/venta-ph-3-ambientes-con-2-terraza-villa-crespo-49219768.html	64	3	1351
USD	84500		Villa Crespo, Capital Federal	Venta Dpto 3 Amb. Reciclado X Escalera Sin Expensas!escuha Oferta	https://www.zonaprop.com.ar/propiedades/venta-dpto-3-amb.-reciclado-x-escalera-sin-50094888.html	55	3	1536
USD	83500	Fitz Roy 735	Chacarita, Capital Federal	Casa PH en Esquina 3 Amb.	https://www.zonaprop.com.ar/propiedades/casa-ph-en-esquina-3-amb.-50013680.html	71	3	1176
USD	82900	Av San	Villa Crespo, Capital Federal	Venta PH Villa Crespo 3 Ambientes Sin Expensas y Baulera!	https://www.zonaprop.com.ar/propiedades/venta-ph-villa-crespo-3-ambientes-sin-expensas-y-48906109.html	69	3	1201
USD	82000	Humboldt y Martinez Rosas - PH 4 amb con Terraza Propia y Posibilidad de Construir	Villa Crespo, Capital Federal	Humboldt y Martinez Rosas - PH 4 Amb con Terraza Propia y Posibilidad de Construir	https://www.zonaprop.com.ar/propiedades/humboldt-y-martinez-rosas-ph-4-amb-con-terraza-51084674.html	106	4	773
USD	82000	Humboldt y Martinez Rosas - PH 3 amb + Escriot con Terraza Propia	Villa Crespo, Capital Federal	Humboldt y Martinez Rosas - PH 3 Amb Escrit con Terraza Propia	https://www.zonaprop.com.ar/propiedades/humboldt-y-martinez-rosas-ph-3-amb-escrit-con-51084686.html	106	3	773
USD	82000	Remedios de Escalada de San Martin 2620	Villa Crespo, Capital Federal	PH Villa Crespo 3 Amb. Planta Baja Sin Expensas! Se Admiten Mascotas	https://www.zonaprop.com.ar/propiedades/ph-villa-crespo-3-amb.-planta-baja-sin-expensas!-se-50329501.html	64	3	1281
USD	79500	DARWIN 300. Entre Padilla y Murillo	Villa Crespo, Capital Federal	Venta! 3 Amb Al Frente, Todo Externo y Luminoso!	https://www.zonaprop.com.ar/propiedades/venta!-3-amb-al-frente-todo-externo-y-luminoso!-50227469.html	52	3	1528
USD	77000	Darwin 900	Villa Crespo, Capital Federal	Venta de PH 3 Amb. Al Frente en Villa Crespo	https://www.zonaprop.com.ar/propiedades/venta-de-ph-3-amb.-al-frente-en-villa-crespo-50913702.html	51	3	1509
USD	73000	Araoz 500	Villa Crespo, Capital Federal	Venta Departamento 4 Ambientes con Terraza	https://www.zonaprop.com.ar/propiedades/venta-departamento-4-ambientes-con-terraza-50851045.html	86	3	848
USD	70000	Charlone al 1200	Colegiales, Capital Federal	PH - Villa Ortuzar	https://www.zonaprop.com.ar/propiedades/ph-villa-ortuzar-50914126.html	61	3	1147
Consultar	0	Aguirre 500	Villa Crespo, Capital Federal	PH - Villa Crespo	https://www.zonaprop.com.ar/propiedades/ph-villa-crespo-51217363.html	270	6	0
